merchant_name,merchant_email,employee_last_name,employee_first_name,employee_phone,amount_netto,amount_pit4,transaction_date
Lidl,office@lidl.com,ADAMOV,VITALII,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Jakub,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Aleksander,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Tymon,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Tymoteusz,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Tobiasz,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Tomasz,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Bernard,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Julian,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,Ben,619656388,19.47,0,8/30/2024
Lidl,office@lidl.com,ADAMOV,John,619656388,19.47,0,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Adam,123123123,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Piotr,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Grzegorz,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Jan,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Mateusz,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Paweł,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Dominik,777666555,1000,114,8/30/2024
Biedronka,office@biedronka.com,Kowalski,Szymon,777666555,1000,114,8/30/2024
